Character,Line
Cartman,Oh.
Cartman,"Hey, Kenny, did you find any chicks to come to the clubhouse?"
Cartman,Holy crap!
Cartman,Behold!
Cartman,The Ewok Village 2000!
Cartman,Can I offer you ladies a cool beverage or a tasty snack?
Stan,Hello?
Cartman,"How's the clubhouse coming, Stan?"
Stan,We're working on it.
Cartman,"Well, I just thought I'd tell you that me and Kenny have finished our clubhouse, and we already have chicks over."
Stan,"No, you don't!"
Stan,Dude!
Cartman,It's only a matter of time before we're playin' Truth or Dare with them.
Cartman,"Good luck with your piece of crap clubhouse, stupid asshole."
Stan,"Aw, that hunk of fat--  Mom, will you please ask Dad to come help me build my clubhouse?"
Stan,What?!
Stan,Why?
Stan,Divorced?
Stan,On no.
Stan,Does that mean you and Dad don't love me anymore?
Stan,"This is all my fault, isn't it?"
Stan,"...Dude, you're not supposed to say that!"
Stan,What?
Stan,This is happening way too fast.
Cartman,"Ahaw, that's weak."
Cartman,That's killer.
Cartman,That's totally weak!
Cartman,Sweet.
Cartman,"Killer weak, sweet!"
Cartman,I had the same thing with my mom the other day.
Cartman,"I'm all like, ""Ey!"
Cartman,I am not a little kid anymore!
Cartman,"Ma, I'm eight years old!"
Cartman,"And if I wanna fingerpaint, then I'm gonna fingerpaint!"""
Stan,Okay.
Stan,We're done.
Kyle,"Dude, I don't think this is very sturdy."
Stan,"It doesn't matter, dude."
Stan,It only has to last long enough to play Truth or Dare.
Stan,I'm gonna go get the girls.
Kyle,Okay.
Stan,' G'oh?
Stan,Go where?
Stan,But no!
Stan,I have to get the girls to come-
Stan,Weak!
Stan,Dad?
Stan,But I don't understand why we have to--
Stan,"Well, I don't like being around my sister anymore; does that mean I can leave her, too?"
Stan,But you and Mom are family; how come you can just split up?
Stan,You know what I think?
Stan,"I think that when you and Mom got married, you became family."
Stan,"And now that you are, you shouldn't be able to leave her anymore than I can leave my sister."
Stan,What?
Stan,That's it?
Stan,"I guess, but--"
Stan,"Okay, dude, the girls are gonna be here to play Truth or Dare any minute."
Kyle,"Stan, if I didn't know you better, I would almost think you're doing this because you wanna play with girls."
Stan,"No way, dude!"
Stan,Don't be silly.
Stan,"We have to say ""Truth"" a couple of times before we say ""Dare,"" right?"
Kyle,Right.
Kyle,Why?
Stan,"Because if we don't, we'll seem too eager."
Kyle,Too eager to what?
Stan,"To say ""Dare,"" dumbass!"
Stan,Jeez.
Stan,"Oh, hi Wendy."
Stan,What's up?
Stan,Yeah!
Stan,"I mean, sure, whatever."
Stan,"Remember, ""Truth"" the first couple of times."
Kyle,Okay.
Kyle,Yeah?
Kyle,Umm.
Kyle,Dare?
Stan,Dude!
Kyle,What?
Kyle,What?!!
Kyle,"Sick, dude, I'm not kissing a girl!"
Kyle,"It's just wrong, that's all."
Stan,"Don't be a chicken, dude."
Stan,Just close your eyes.
Kyle,What the hell have you gotten me into?
Stan,"Dude, Cartman is in his clubhouse playing Truth or Dare with girls right now."
Stan,You really want him to beat us?
Kyle,Hoh boy.
Kyle,Sick!
Kyle,Aggghhh!
Kyle,Fucking sickening!
Stan,Dare.
Stan,"...Dude, we cut firewood all day yesterday!"
Stan,We have enough to last twelve years!
Stan,Crap!
Cartman,Totally.
Cartman,"Uuuuuh my mom gives me shit sometimes, and I tell her to shut her hole before I kick her in the nuts!"
Cartman,"Coming, Mom."
Cartman,"Okay, we have to play Truth or Dare, quick!"
Cartman,Who the hell are you?
Cartman,How many people?
Kyle,Okay.
Kyle,Huh?
Kyle,"Okay, that's fine."
Kyle,But I don't care.
Stan,Do you mind if I watch cartoons?
Stan,I've had a rough day.
Stan,What?
Stan,My dad lets me watch cartoons.
Stan,Roy's a dick!
Stan,He ruined my chances with Wendy in the clubhouse!
Stan,"If that's true, then get back together with Dad for me!"
Stan,Oh.
Stan,Divorce is stupid.
Stan,Yeah.
Stan,"Yeah, I think I'll write a little note for Roy."
Cartman,Hey!
Cartman,When are we gonna play Truth or Dare?
Cartman,This is bullcrap!
Cartman,"This sucks, Kenny!"
Cartman,I wish we'd never built a clubhouse!
Cartman,"Oh my God, they killed Kenny!"
Kyle,You bastard!
Stan,Wow.
Stan,Clubhouses are magical.
Stan,Dare.
Stan,...What?
Kyle,"Wow, dude, check it out!"
Kyle,We can win Terrance and Phillip dolls.
Stan,Are those REAL Terrance and Phillip dolls?
Stan,They look all crappy.
Kyle,"Yeah, they look like cheap rip-offs."
Stan,Really?
Cartman,Wwow!
Kyle,"Dude, that kicks ass!"
Cartman,"Oh, dude, I gotta win those."
Cartman,How much to play?
Cartman,Five dollars?!
Cartman,Jesus Christ!
Cartman,That's easy!
Cartman,Ay!
Cartman,Check it out!
Cartman,Damn it!
Cartman,"Take this, Jennifer Love Hewitt!"
Kyle,"You suck, Cartman!"
Cartman,I'd like to see you do better!
Kyle,Give me that!
Kyle,Hey!
Kyle,It hit her right in the mouth!
Kyle,But ih-
Kyle,"Here, give me some money, Cartman!"
Kyle,"Lend me money, fat boy!"
Cartman,"I only have three dollars left, asshole!"
Kyle,Damn it!
Kyle,Come on!
Kyle,I'll try to get more money from my mom.
Kyle,"Mom, give me some money!"
Kyle,I need $17 so we can win Terrance and Phillip dolls.
Kyle,I will if you give me money!
Cartman,Sweet.
Kyle,Okay.
Kyle,We've got $15 between us.
Kyle,That means we get nine balls to throw.
Cartman,"I only need one, dude."
Cartman,I only need one.
Stan,What's that?
Cartman,How much is it?
Kyle,Is it like a- haunted house or something?
Cartman,"Let's see: each ticket is a dollar, so three tickets is like two twenty-five."
Kyle,No.
Kyle,"We can't, dude."
Kyle,We have to win the Terrance and Phillip dolls.
Cartman,"Oh come on, you guys."
Cartman,We still have plenty of money left over.
Kyle,"You'd better be right, dude."
Cartman,I'm right!
Kyle,Okay.
Cartman,Eh!
Cartman,God-damnit!
Stan,What the hell was that?
Kyle,That was the dumbest ride I've ever seen!
Stan,Yeah.
Stan,What the hell kind of carnival company are you?
Cartman,I don't know what you guys are talking about!
Cartman,That scared the crap out of me!
Kyle,"That was a waste of money, Cartman!"
Kyle,We can't.
Kyle,We're saving our money for the balls in Jennifer Love Hewitt's mouth game.
Cartman,"Kyle, will you relax, you pink eye?"
Cartman,We have plenty of money.
Cartman,"Come on, you guys!"
Cartman,It'll be sweet!
Kyle,This ride better be good!
Stan,"Yeah, this line is way too long!"
Cartman,I think we're almost to the end.
Kyle,We'd better be.
Kyle,We've been in line for almost an hour!
Stan,Here we go.
Kyle,Finally!
Stan,What ride?
Kyle,Yeah.
Kyle,Ugh.
Kyle,You've gotta be kidding me!
Stan,My ass we will!
Kyle,"Well, Cartman, this is just my opinion, but I think the Line Ride sucked donkey balls!"
Stan,"Yeah, let's not ride that ride again."
Cartman,How much?
Cartman,"Hunh that's, that's pretty sweet."
Kyle,"You dumbass, Cartman!"
Cartman,What?
Cartman,This is cool.
Kyle,"No, it's not cool!"
Cartman,"It is, too!"
Stan,We're gonna try to win those Terrance and Phillip dolls again.
Kyle,"How much do we have left, Cartman?"
Kyle,"How much do we have left, Cartman?"
Cartman,"Aah, three dollars."
Kyle,What?!
Kyle,"You said we had plenty of money, Cartman!"
Cartman,"Yeah, but I didn't take into account the fact that I suck at math."
Kyle,You son of a bitch!
Kyle,Aaargh!
Cartman,Ey!
Cartman,Seriously!
Kyle,"Well, Cartman, thanks to you we don't have any money left to win the Terrance and Phillip dolls!"
Cartman,"Well, I'm sorry!"
Kyle,"Well, sorry's not good enough!"
Kyle,What are you gonna do about it?
Cartman,Hey!
Cartman,I bet Kenny has some food stamps on him!
Stan,Sir?
Stan,Will you take food stamps for three balls?
Kyle,"Give him your food stamps, Kenny!"
Kyle,"Come on, dude!"
Kyle,I can do it!
Kyle,I'm sure!
Cartman,"Damn it, Kenny, don't be such a food-stamp hog!"
Cartman,Share with the rest of your friends!
Kyle,Okay.
Kyle,Here we go.
Kyle,Hey!
Kyle,That was right on target.
Kyle,That does it!
Kyle,Shenanigans!
Kyle,SHENANIGANS!
Kyle,I'm declaring Shenanigans on you!
Kyle,This game is rigged!
Kyle,"Officer Barbrady, I wanna declare Shenanigans on this carnival operator."
Kyle,This game is fixed!
Kyle,The balls are bigger than Jennifer Love Hewitt's mouth!
Kyle,It worked!
Stan,"Sorry, Officer Buttbaby."
Stan,"Oh, I'm sorry."
Stan,What did I say?
Cartman,Sweet.
Kyle,No!
Kyle,Dude!
Kyle,I want the Terrance and Phillip dolls up there.
Kyle,What?
Kyle,"You dirty son of a bitch, you never told us that we had to win-"
Kyle,"Damnit, I have to have those dolls!"
Stan,This is hopeless.
Stan,We're never gonna have enough money to win.
Kyle,Wait a minute!
Kyle,I've got it!
Kyle,The bullriding contest.
Kyle,"Cartman could ride a bull, and try to win $5000."
Kyle,"Think about it, dude: $5000."
Kyle,That's 1000 set of balls.
Kyle,That's 3000 balls!
Kyle,We'd have to win enough to get the dolls!
Cartman,What the hell makes you think Cartman rides a bull?
Kyle,"Because you spent all of our money on those stupid rides, fatass!"
Kyle,"Now, either you're getting on a bull or I'm gonna break your fuckin' head open!"
Cartman,"O-kay, I'll- get on the bull."
Kyle,All right!
Kyle,"Now, come on!"
Kyle,We have to practice!
Stan,He really wants those dolls.
Cartman,"I guess, damn!"
Stan,"Hey, uh this mechanical bull's gonna help you practice for the real thing, Cartman."
Cartman,"Hey, this is sweet."
Kyle,You've gotta try and stay on for ten seconds.
Kyle,"Okay, Cartman?"
Cartman,I'll try.
Cartman,Ten seconds is a long time.
Stan,We'll start on the slowest setting and work our way up.
Stan,Ready?
Stan,Go.
Cartman,Yikes!
Cartman,Ow!
Cartman,Son of a bitch!
Stan,How long was that?
Kyle,That wasn't quite ten seconds.
Stan,Damn it!
Stan,"That wasn't ten seconds, Cartman."
Stan,You have to do better than that.
Cartman,"You guys, eh seriously, my back!"
Kyle,"Get back on, fatass!"
Kyle,You have to practice!
Cartman,Seriously.
Cartman,Help.
Cartman,Screw you guys.
Cartman,Hate you guys.
Kyle,"What'd you say, Cartman?"
Cartman,I hate you guys!
Kyle,I think he said he wants to practice on a real bull.
Cartman,Hate you guys.
Kyle,"Well uh, he'll have to do."
Kyle,Cartman has to get some practice with a real bull.
Kyle,"Okay, Cartman."
Kyle,You ready?
Cartman,Nnoo.
Kyle,Open the gate!
Cartman,"All right, get down."
Cartman,This is my kind of bullride.
Kyle,That bull sucks!
Kyle,He's not even bucking or anything!
Cartman,"Yeah, this is sweet!"
Stan,What are you going to do?
Kyle,Get the bull in the balls with a snowball.
Stan,"Hoh, yeah."
Stan,That's a good idea.
Cartman,Eeyy!
Kyle,That's better.
Stan,"Hold on, Cartman!"
Cartman,Ey!
Cartman,"Seriously, dude!"
Cartman,Do something!
Cartman,"Dude, stop this crazy thing!"
Cartman,Mother f-
Kyle,"Get up, Cartman!"
Kyle,You're still not staying on long enough!
Stan,"Come on, Cartman."
Kyle,"No he didn't kill him, he's still breathing!"
Kyle,Get up!
Kyle,Get UP!
Stan,"You okay, dude?"
Stan,"Cartman, hello?"
Stan,Hel-lo?
Kyle,"Dude, I think we broke him."
Stan,What's the matter with him.
Kyle,..Oh.
Stan,But can he still ride a bull?
Kyle,We need him to win a bullriding contest so we can get Terrance and Phillip dolls.
Kyle,Can he still do it?
Kyle,Damn it!
Stan,Cartman.
Stan,"Cartman, can you hear me?"
Cartman,Boinsure li bonsure.
Stan,What?
Cartman,Boyongture taur lur mahrter.
Stan,"Oh, he's fine, dude."
Kyle,You think?
Cartman,Shunkarah puntaur lah-turi.
Stan,"Oh, yeah, dude."
Stan,Let's get his ass to the rodeo.
Stan,How's he doing?
Kyle,He still thinks he's a Vietnamese prostitute.
Cartman,Pooinshower.
Cartman,Madalen shine debaur.
Cartman,Huelar she mashartah me shur har.
Stan,Do you think he can ride the bull?
Kyle,"Yeah, I think so."
Stan,Cool.
Cartman,Hello.
Cartman,"Hello, polie."
Cartman,"Hello, polie hurrah you soldier boy."
Cartman,"Hey, soldier boy!"
Cartman,Hello?
Cartman,Soldier boy.
Cartman,Me so horny.
Cartman,Me love you long time.
Cartman,"Hello, puhree!"
Cartman,Puhree hello!
Cartman,"Hello, sucky-sucky!"
Cartman,"Hello, puhree!"
Stan,"Jesus, dude!"
Kyle,"Hey, where's Cartman?"
Stan,"Oh, hell!"
Stan,"Kenny, you go find Cartman."
Stan,We have to go sign him up for the bull ride.
Stan,"Kenny, where the hell is Cartman?"
Kyle,"He's up in, like, twenty minutes!"
Cartman,"Hello, fren!"
Cartman,Hello!
Stan,There he is!
Cartman,"Sucky-sucky, five dollar."
Kyle,"Don't be nervous, Cartman."
Kyle,This is gonna be cake.
Stan,"Yeah, and then those Terrance and Phillip dolls will be ours!"
Cartman,Hucky-sucky five dollar.
Cartman,Ten dollar?
Cartman,Eight dollar?
Cartman,"You give me eight dollar, soldier boy!"
Stan,"Dude, I'm having second thoughts about this."
Kyle,What do you mean?
Stan,I'm startin' to think that maybe it's wrong to put someone who thinks they're a Vietnamese prostitute on a bull.
Cartman,Eey!
Cartman,Freline furton!
Cartman,Sucky-sucky!
Kyle,"Hang on, Cartman!"
Cartman,Aaah!
Cartman,Ten dollar!
Cartman,"Ten dollar, soldier boy!"
Cartman,Gaaah!
Cartman,Heeee!
Stan,"Dude, that bull's gonna kill him."
Kyle,"Go help him, Kenny!"
Stan,"Oh my God, they killed Kenny!"
Kyle,You bastard!
Cartman,"Hey, sucky-sucky?"
Cartman,Only ten dollar.
Stan,"We did it, dude, we did it!"
Stan,Yeah.
Stan,And we have $5000 this time.
Kyle,How many ball does that get us?
Cartman,Odline daur shunba shunba?
Kyle,You will?
Stan,"Wow, why'd you get so cool all of a sudden?"
Kyle,We did it!
Kyle,"You see, Cartman?"
Kyle,You won us the Terrance and Phillip dolls!
Cartman,Ten dollar?
Cartman,Sucky-sucky?
Kyle,What are we gonna do with them?
Stan,We should-
Kyle,..What the-?
Stan,"Dude, these dolls are cheap rip-offs!"
Kyle,After all that?!
Kyle,Shenanigans!
Kyle,Shenanigans!
Kyle,SHENANIGANS!
Kyle,"Officer Barbrady, I would like to reinstate my previous Shenanigans!"
Kyle,This whole carnival is a rip-off!
Stan,"Say, Terrance, let's look for treasuh."
Kyle,Oh.
Kyle,"Good idea, Phillip."
Kyle,Let's look for treasuh.
Cartman,What are you guys doing?
Stan,"Oh, hey, Cartman."
Stan,How are you feeling?
Cartman,"Oh, pretty good, except I had the weirdest dream last night."
Kyle,Really?
Kyle,What about?
Cartman,"Well, I dreamt that I was a poor Vietnamese girl, and then you guys made me ride a big, scary bull, and then Leonardo DiCaprio gave me a spankin' for several hours."
Cartman,"Eeyy, where did you guys win all those Terrance and Phillip dolls?"
Stan,Oh-h.
Stan,Nowhere.
Cartman,Wait a minute!
Cartman,You guys did make me ride that bull!
Kyle,No!
Kyle,"Cartman, that was just a dream!"
Cartman,Oh!
Cartman,Son of a bitch!
Cartman,"Stinky britches, you got stinky britchesStinky, stinky britches, you got stinky--"
Kyle,"What the hell are you singing, Cartman?"
Cartman,This new song by Alanis Morissette.
Cartman,"I can’t get it out of my head.Stinky britches, you got stinky britches"
Cartman,"Stinky britches, you got stinky, stinky--"
Cartman,"Yeah, I can’t get this stupid song out of my head."
Cartman,Yeah.
Cartman,"Stinky, stinky britches"
Kyle,When is Mr. Hat coming back?
Stan,But we hate Mr. Twig.
Stan,Mr. Twig sucks.
Cartman,"Stinky britches, you got stinky--"
Kyle,He'd be better used as a coat rack.
Cartman,"You got stinky britches, stinky--"
Kyle,He singing some new hit song.
Cartman,It’s all over the place.
Cartman,"On the radio, MTV, everywhere."
Stan,"What, dude?"
Cartman,You wrote it?
Kyle,"Wow, then you should get money for it!"
Kyle,Then we should go to the record company.
Kyle,"My dad's a lawyer, dude; he tells me about this stuff all the time."
Kyle,It’s the same goddamn song!
Kyle,We’ll get my dad to be Chef’s lawyer!
Cartman,"Yeah, and he’s Jewish."
Cartman,What's a Chewbacca defense?
Kyle,I don't know.
Stan,That's what Cochran used in the O. J. Simpson trial.
Cartman,"Goddamn,  I hate that Cochran guy!"
Cartman,"If he was in front of me, I'd be like, ""Hey!"
Cartman,You stupid son of a bitch!
Cartman,"You-- How... How'd you like me to kick you in the nuts?!"""
Kyle,"I'm sure that would scare the hell out of him, Cartman."
Cartman,"Wow, he’s good."
Stan,"Oh, no, dude."
Stan,Chef's gonna go to jail.
Stan,"Hello there, Chef."
Kyle,What's going on?
Stan,"Well, don't worry."
Stan,We came over to cheer you up.
Kyle,Yeah.
Kyle,"Ready, Cartman?"
Cartman,Ready.
Cartman,"I will do the German dance for youIt's fun and gay and tra-la-laI hope my will enjoy my danceFiddle-e-aye, fiddle-e-aye ayWould you like some sauerkraut, German boy, German boy?Yes, I'd like some sauerkraut--"
Stan,You do?
Cartman,See?
Cartman,I told you guys it would work.
Kyle,"What's that, dude?"
Kyle,Did you ever know any famous people?
Cartman,What's that?
Stan,"Hey, why don't you ask all those famous people you used to know for money?"
Stan,They're rich.
Kyle,"You can raise $2 million, dude."
Kyle,We'll help you.
Stan,"We've gotta help him, dude."
Kyle,"Yeah, b-but how?"
Stan,Come on.
Stan,Maybe those rock stars will remember Chef.
Stan,Let's go pay them a visit!
Kyle,"Whoa, dude, this house is huge."
Stan,"Yeah, it's bigger than Cartman's ass."
Cartman,"No, it isn't, you guys."
Cartman,"We're trying to raise money for our friend, Chef."
Cartman,Would you like a Moon Crunchie or a Snacky Cake?
Kyle,Are you Elton John?
Kyle,Oh.
Kyle,Then what the hell are we talking to you for?
Kyle,"Come on, guys."
Kyle,"Hi, are you Elton John?"
Kyle,We're trying to raise money for our school chef.
Cartman,We have Chocolate Nuggies and S'more Crunchies…
Cartman,What?
Stan,Could you just buy a couple anyway?
Stan,Our friend Chef is really--
Kyle,"Yeah, dude."
Stan,"Wow, you remember him?"
Stan,So will you buy some of our candy bars to help him out?
Cartman,Three Crispy Yum Yums.
Stan,"Hey, Elton, if I give you these lyrics, will you write a song for my girlfriend, Wendy?"
Stan,'Kay.
Stan,"Thanks, dude."
Kyle,"Dude, we'll have Chef's $2 million in no time!"
Stan,"Hello, are you Meat Loaf?"
Cartman,"Mr. Loaf, we are selling candy bars for our dying friend."
Kyle,"He’s not dying, Cartman!"
Cartman,Shut your goddamn mouth.
Cartman,"We have Nilla Crunchies, Berry Bars--"
Stan,"Our friend, Chef."
Kyle,Yeah.
Kyle,Do you know him?
Stan,Wow!
Stan,So you'll help him?
Kyle,"Gosh, thanks, Rick James."
Stan,"Yeah, thanks."
Stan,That’s $35.
Stan,"Come on, you guys, we've gotta hurry and give this money to Chef!"
Stan,Wait!
Stan,Wait!
Stan,What are you doing?
Stan,"No, you don't!"
Kyle,We went to a bunch of rock stars and sold them candy bars to raise the money you needed.
Kyle,Cartman?
Cartman,"Well, you can see here that we raised approximately $95, falling well short of our $2 million goal illustrated here."
Kyle,But we can put our money together with the money you made whoring yourself to all the women.
Kyle,How much did you make?
Stan,You can't take Chef's money!
Stan,It's illeg--!
Kyle,Dude… Chef is gone.
Stan,No more Chef.
Cartman,No more Salisbury steak and… pecan pie.
Stan,"We can't let him down, you guys."
Stan,"Dude, it's over."
Stan,He's gone.
Stan,No!
Stan,Chef wouldn't give up on us.
Stan,How many times has Chef gotten us out of trouble?
Cartman,Four.
Kyle,But what are we gonna do?
Stan,"It's easy, dude."
Stan,Chef Aid.
Kyle,Chef Aid?
Stan,Yeah.
Stan,"We set up a stage, and have Cartman do the German Dance."
Stan,Then we charge people for tickets.
Kyle,"Hey, that's a great idea!"
Cartman,Yeah!
Cartman,"I will do the German dance for youIt's fun and gay and tra-la-la I hope my will enjoy my dance Fiddle-e-aye, fiddle-e-aye ay"
Kyle,Hmm...
Kyle,This isn't going over so well.
Stan,Cartman just needs to put more into it.
Stan,"Dance better, Cartman!"
Cartman,"Would you like sauerkraut, German boy, German boy?Yes, I'd like some sauerkraut, Fräulein Setski"
Stan,Elton John!
Stan,What are you doing here?
Stan,"Boy, do we!"
Kyle,"Wow, cool!"
Stan,"Yeah, dude, it's all yours."
Kyle,We are raising money so that Chef can hire Johnnie Cochran to sue you!
Cartman,Yeah!
Cartman,Now get out of here before I kick you in the nuts!
Stan,Wow!
Stan,"How'd you get out of jail, Chef?"
Kyle,"Well, we helped."
Stan,"We’re gonna raise your money, Chef."
Stan,"Oh, my God!"
Stan,Ozzy Osbourne bit Kenny’s head off!
Kyle,You bastard!
Kyle,"Hey, that's your song for Wendy!"
Cartman,"Ha-ha, you're a wuss."
Stan,I wonder why Cartman wasn't in school today.
Kyle,He probably just ditched to avoid that spelling test.
Cartman,Hey guys.
Cartman,How's it going?
Kyle,"Uh, nice costume, dude."
Kyle,Who are you supposed to be?
Kyle,Luke Perry?
Stan,"Cartman, how come you weren't in school today?"
Kyle,Did you eat too many pork rinds last night?
Cartman,"You guys, you're so funny."
Cartman,"No matter how I'm feeling, I can always count on you guys to lighten me up."
Stan,What?
Cartman,I had to stay home because my mother wasn't feeling well.
Cartman,"She has the flu, and I wanted to take care of the house so she could stay in bed."
Cartman,I just wanted to catch you guys to see if we were assigned any homework tonight.
Kyle,"What the hell are you talking about, Cartman?"
Stan,"Stop screwing around, dude."
Stan,We're all gonna go meet at the store later to buy pumpkins to carve.
Cartman,"Oooh, then we can enter the carving contest!"
Cartman,I'll run home and get money from Mother.
Cartman,"Do you guys need some, too?"
Stan,"Dude, this is creepy."
Stan,"Wow, really?!"
Stan,"Hey, I love Aunt Flo!"
Stan,Wow!
Stan,I don't know.
Stan,I don't like it.
Stan,It's spooky.
Stan,Do I have to?
Stan,Damn it!
Kyle,"Where have you been, dude?"
Stan,"Dude, my mom's having her monthly visitor."
Kyle,Aunt Flo?
Stan,Yeah.
Stan,Every time she shows up my mom turns into a total bitch.
Kyle,Where is Cartman?
Kyle,He said he was gonna bring money for us to buy a pumpkin.
Stan,"Yeah, I wonder why he's being so nice."
Kyle,Here he comes.
Stan,"Hey, Cartman!"
Stan,Did you bring us money from your mom?
Cartman,Heh!
Cartman,"Yeah, right!"
Cartman,You guys could kiss my black ass!
Kyle,"You said you could get us money, Cartman!"
Cartman,"Man, you guys are hella stupid!"
Cartman,"If I had money, I wouldn't give it to you assholes!"
Kyle,"Well, at least he's back to normal."
Stan,"Yeah, but we can't get a pumpkin, so we can't enter the carving contest!"
Kyle,It's okay.
Kyle,Kenny said he'd get one.
Cartman,"Oh, how's Kenny gonna get one?!"
Cartman,He's hella poor!
Stan,"Why do you keep saying ""hella,"" fatass?"
Cartman,"'Cause I'm hella cool, that's why."
Kyle,That's not cool!
Cartman,You guys are just hella jealous.
Stan,"Can you leave the light on, Dad?"
Stan,I wish Aunt Flo didn't have to visit now.
Stan,Where did it go?
Stan,Huhhh.
Cartman,"Hi there, folks!"
Cartman,This is a heck of a storm out now!
Cartman,Thought maybe you could use some provisions.
Cartman,There's some candles and food in there.
Cartman,"It ain't much, but it should get you through the night."
Cartman,"Take care, folks."
Cartman,I've got other houses to get to.
Stan,Hey.
Stan,Where did the shirt go?
Stan,I covered you with a shirt!
Stan,Where did it go?!
Stan,AAAaAaAaAa  I'm not gonna look.
Stan,It's not closer.
Stan,I'm just seeing things.
Stan,GAAAH!
Stan,AAAAAAAH!!
Stan,MOM!
Stan,Mom!
Stan,Look.
Stan,"He's gonna kill me, Mom!"
Stan,No!
Stan,AAAAAAAAH!
Stan,The fish!
Stan,But-.
Stan,WAAAAAAAH!
Stan,Mooomm!
Stan,"Mom, I was just sleeping."
Stan,And the next thing I knew-.
Stan,You're not gonna get away with this!
Stan,"Mom, what are you doing?"
Stan,"Mom, do you think I killed that guy?"
Stan,It was the fish!
Stan,He says I'm next!
Stan,But MOM!
Stan,MMOOMM!
Stan,"No, mom!"
Kyle,"It's about time, Kenny!"
Kyle,Did you bring the pumpkin?
Cartman,"Well, where is it?"
Cartman,What the hell is that?
Cartman,It's all you could afford?!
Cartman,"Whoever heard of a squah-o-lantern, Kenny?!"
Cartman,That's hella stupid!
Kyle,"Stop saying ""hella,"" Cartman!"
Kyle,How are we gonna win the contest with a squash?
Kyle,"Whoa, Stan."
Kyle,You don't look so good.
Stan,I haven't been sleeping so well.
Cartman,"God, I hate you, Kenny."
Cartman,I have to get another knife; this one's hella dull!
Kyle,"God, will you shut up?"
Stan,"Kyle, you know how some people are, like, murderers and stuff?"
Kyle,Yeah.
Stan,"Do you think animals can be murderers, too?"
Kyle,I don't know.
Kyle,"Oh, great."
Kyle,He's got that stupid beard on again.
Cartman,"No, Kenny."
Cartman,You should cut with the blade facing away from you.
Cartman,You're gonna hurt yourself.
Cartman,"Seriously, dude."
Cartman,"Isn't this fun, you guys?"
Cartman,"Carving pumpkins for Halloween?You guys are my best friendsThrough thick and thin, we've always been togetherWe're four of a kind, havin' fun all dayPallin' around and laughin' awayJust best friends, best friends are we.I love you guys."
Kyle,"You seem tired, Stan."
Stan,I haven't been sleeping well.
Kyle,Why?
Stan,My pet goldfish killed another random person last night.
Kyle,"Hoh, that sucks, dude."
Cartman,"Hey, dudes."
Cartman,"Man, it's hella cold out here."
Kyle,Cartman?
Cartman,Who'd you expect?
Cartman,Maury Povich?
Cartman,"Golly, you're hella lame!"
Stan,What are you doing?
Cartman,"What do you mean, what am I doing?!"
Cartman,Im just standing here.
Cartman,"Jesus, mellow out, you guys."
Kyle,"You can't be standing there, Cartman."
Cartman,Why the hell not?
Kyle,Because you're standing over there!
Cartman,Aaah!
Cartman,Son of a bitch!
Cartman,I can't believe what I'm seeing.
Cartman,"Dude, this is hella weird."
Kyle,"Uh, Chef?"
Kyle,Chef.
Kyle,Chef.
Kyle,Chef!
Kyle,We have problems!
Stan,"Chef, I have a goldfish that keeps killing people."
Cartman,"...and them I saw them all at the bus stop, and this son of a bitch is standing there!"
Stan,What?
Cartman,He's my evil twin?
Cartman,But he doesn't even look that much like me; he's all fat and stuff.
Cartman,He's hella lying.
Kyle,Will you stop saying that word?
Stan,Of course!
Stan,"My pet goldfish must be from the evil, opposite universe, too!"
Kyle,Whoa!
Kyle,What's wrong with your head?!
Kyle,Why are you shaking like that?
Stan,"Dude, that's not cool."
Stan,She's got Parkinson's disease.
Cartman,"Ey, sweet!"
Cartman,Sweeeeeet!
Cartman,"Check it out, guys; you don't even have to put a quarter in her."
Stan,Cartman!
Cartman,"Dude, this is hella cool."
Stan,"Aunt Flo, where did you get this goldfish?"
Stan,Do you remember what pet store?
Stan,Where?
Stan,"That's it, dude."
Stan,We've gotta take the spooky fish back to that pet store.
Cartman,"Who's ""we""?"
Cartman,You got a turd in your pocket?
Cartman,I'm goin' home.
Cartman,I'm hella hungry!
Cartman,"Shut your god-damned mouth, fatass!"
Kyle,Dude.
Kyle,Are you sure that fish is a murderer?
Kyle,It seemed like a normal fish to me.
Stan,Just help me take it back.
Stan,Come on!
Stan,"Did you find the address, Aunt Flo- Aunt Flo!"
Stan,It was the fish!
Stan,Now we'll never know where that pet store is!
Kyle,"There can't be that many pet stores in South Park, dude."
Stan,Aunt Flo isn't from South Park.
Stan,The pet store could be anywhere between here and Denver.
Kyle,"Well, we'd better get working."
Kyle,"Cartman, you go home and call all the pet stores in the phone book."
Cartman,Screw you!
Stan,"Come on, we're running out of time."
Cartman,"Shut up, dude!"
Cartman,I'm trying to watch TV!
Cartman,"Uh-ho-ho, man, that's hella funny!"
Cartman,"No, Kitty, this is my pot pie!"
Cartman,"No, Kitty, this is my pot pie, Kitty!"
Cartman,"NO KITTY, BAD KITTY!!!"
Cartman,"Hahaha, you-hoo suck, dude."
Stan,"Yeah, my goldfish-."
Stan,I know.
Stan,"Come on, let's go!"
Stan,"Mom, I know you think I did all this, but I'm gonna prove to you it was this fucking fish!"
Stan,I wanna return a fish.
Kyle,What?
Stan,"Yeah, dude."
Kyle,"Dude, why is your store called ""The Indian Burial Ground Pet Store?"""
Stan,So you just- built your store on top of an Indian burial ground?
